"questionnaire","item","skewness","conf_correlation","reversed","inattention_d","ci_low","ci_high","AD","CIT","SW"
"SDS","zung.10",0.797011154615257,-0.119902145641551,FALSE,-0.105960294702297,-0.326972776174757,0.115168495340082,0.0152510956665847,0.0177006232542035,8.65410083741223e-05
"SDS","zung.11",0.120025555136086,-0.102902047492925,TRUE,-0.0646432000185357,-0.285611080233359,0.156395670912571,0.0187389701395055,0.00404498205324471,-1.9702261325047e-05
"SDS","zung.12",0.18378288693242,-0.104990143367881,TRUE,-0.0793511157067306,-0.30033113205045,0.141716034170164,0.0259942531279786,-0.00284289901078275,-0.000572244317202178
"SDS","zung.13",1.11140077664793,-0.0356783109382086,FALSE,0.0321569154811481,-0.188834105196941,0.253112604468599,0.0101250702867646,0.0124104241534565,-0.00109064946112764
"SDS","zung.14",0.136635432502049,-0.274257810741683,TRUE,-0.556056172570421,-0.779654202756852,-0.331862333503247,0.0373380229573091,-0.0106142909139899,-0.00147141528470784
"SDS","zung.16",0.124125067650333,-0.232123302463813,TRUE,-0.353618586252311,-0.575580399379081,-0.13127223752678,0.0261752289193004,-0.00275363813108282,0.0041357666378733
"SDS","zung.17",0.30699595025467,-0.277530968825086,TRUE,-0.290711411160503,-0.512321674933028,-0.0687839579203355,0.049114105151425,-0.00837617490994043,-0.00209253389141101
"SDS","zung.18",0.0418457489714486,-0.178565309055076,TRUE,-0.118976833083787,-0.340010135667073,0.102187030067598,0.0433429135862336,-0.0110673228983056,-0.00470134204493069
"SDS","zung.20",0.268747052786046,-0.136232798621084,TRUE,-0.15141152452559,-0.372510751018036,0.0698537304411806,0.0324947232593177,-0.00204236879461698,0.00266293685872608
"LSAS","leb.2",0.608388071616932,-0.159441033856973,FALSE,-0.200169153318173,-0.421405239224035,0.0212861132389922,0.000495134373400216,-0.00567241111010264,0.0641270074245871
"LSAS","leb.5",0.344249700881612,-0.108671107176575,FALSE,0.0140946276893659,-0.206878499655649,0.235052261224246,0.00340954679511927,0.00204393658209247,0.0389692494884693
"LSAS","leb.6",-0.457800619973004,-0.218104187191959,FALSE,-0.269833029252858,-0.49134319773652,-0.0480281837294322,-0.00304733596246666,-0.00953766022523476,0.0442540770194186
"LSAS","leb.7",0.324741799946513,-0.205847304386252,FALSE,-0.2412595617719,-0.462646140703902,-0.0196091885510723,0.00388769418737572,-0.0114650587857127,0.0733462651765139
"LSAS","leb.8",0.312324197619375,-0.0634024496413086,FALSE,-0.108931184191993,-0.329948137590721,0.112205329225381,-0.0023998949342278,0.00296074294585984,0.049942996051958
"LSAS","leb.9",0.429108886095902,-0.0567674707516932,FALSE,0.00955677158890316,-0.211412836722123,0.230515885769565,-0.00366810309586725,0.00455637785406567,0.0387069154899096
"LSAS","leb.10",0.268283527159793,-0.196580836942447,FALSE,-0.109536878839179,-0.330554764287594,0.111601226557838,-0.000175509326510275,-0.000126471524249303,0.0550048390177598
"LSAS","leb.11",0.398278287089669,-0.0974162438874894,FALSE,-0.0125942514575306,-0.233552329516439,0.208377654104782,-0.00406925038109021,0.000591826481201402,0.087977121319425
"LSAS","leb.12",0.355619473414413,-0.154840112247039,FALSE,-0.0639278067364457,-0.284895194201561,0.157109800126367,-0.00593998581333997,-0.00229083797517508,0.096551770959207
"LSAS","leb.14",0.458218703431008,-0.0451083208567485,FALSE,0.16339209324124,-0.0579156795794048,0.384520765185758,-0.00811695569832356,0.00964956736270151,0.0470539160909031
"LSAS","leb.15",-0.228390207942152,-0.155013907525312,FALSE,-0.0671563396133147,-0.288125996945477,0.153887068249033,-0.00396866237986364,-0.0159490525544951,0.0834803657023855
"LSAS","leb.16",0.024417711267381,-0.0922624766986452,FALSE,-0.0873312225728365,-0.308319571450884,0.133752997023183,-0.00596043830994424,-0.00723560096465573,0.0799700347778578
"LSAS","leb.18",0.355239805074253,-0.153154917245749,FALSE,-0.0962260916914734,-0.31722511480964,0.124878598336855,-0.00558354195822397,0.00225613240565718,0.0513262315733388
"LSAS","leb.19",0.624439252244911,-0.0375778629097167,FALSE,0.332726136821547,0.110527142126058,0.554562886009444,-0.0015798058984925,0.00384525111701864,0.0439594049373228
"LSAS","leb.20",0.377844814602925,-0.133361509832819,FALSE,-0.159471562737101,-0.380590283529316,0.0618219974692001,-0.00332695215539047,-0.00976386675330461,0.0535520740532499
"LSAS","leb.21",0.11926621857927,-0.272183805630483,FALSE,-0.399184473788286,-0.621447595574504,-0.176488465203637,0.00363814429379805,-0.00901180954310692,0.0410569347719352
"LSAS","leb.22",0.838559961112671,-0.0583237515164103,FALSE,-0.0288332082056401,-0.249788777997836,0.192154034857741,-0.00260987104430327,0.00968900274521656,0.033532510151666
"LSAS","leb.23",0.13392877258831,-0.216387531434391,FALSE,-0.0847338495969281,-0.305719351960175,0.136344686325143,0.000524603214890064,-0.00669914104214593,0.0495838833565264
"LSAS","leb.24",0.692490642609903,-0.00479092476042903,FALSE,0.112094123261826,-0.109050796133495,0.333116026276734,-0.00307583268922229,0.00415295197470691,0.0341562024399541
"STAI","anxiety.1",0.172575288108201,-0.240945515689328,TRUE,-0.240634162818897,-0.462018235263,-0.0189870045097211,0.0473590249642162,-0.0103705703361262,0.00220944229221916
"STAI","anxiety.3",0.225941072292838,-0.281168845865805,TRUE,-0.283826123225036,-0.505402467832509,-0.0619400070715349,0.0543748594008433,-0.0149420975324231,5.77512442488041e-05
"STAI","anxiety.4",-0.118408631622739,-0.107740489969642,TRUE,0.0219008988973418,-0.199079193623309,0.24285693409913,0.0209665752925486,0.00834015710593283,0.00781569034336894
"STAI","anxiety.5",0.746724536088553,-0.222137429151535,TRUE,-0.348567550154786,-0.570498372012753,-0.12625756424068,0.0464269070337638,0.00516944905070072,0.00297306111153696
"STAI","anxiety.7",0.209648824074129,-0.172824209138788,TRUE,-0.239048285087292,-0.460425951590786,-0.0174092208053968,0.024829845860621,-0.00275189619318514,0.00591018901668967
"STAI","anxiety.8",0.598714230803121,-0.0780111405592682,FALSE,-0.00669969011662538,-0.227659912546478,0.214267912372577,0.0283956359812341,0.0118127081370776,0.00199414117206823
"STAI","anxiety.10",0.359991487119567,-0.265693357553307,TRUE,-0.288157745214752,-0.509755329909932,-0.0662457409559642,0.0651254693140057,-0.0185604719187334,0.000813413060894085
"STAI","anxiety.11",0.786197711921078,-0.0356670767779109,FALSE,-0.0750840861171042,-0.296060160565274,0.145974439738694,0.0136348775623277,0.0299862190441238,-0.00337667444075044
"STAI","anxiety.12",0.222294854775993,-0.271320987103362,FALSE,-0.373693113340051,-0.595782848971769,-0.15119746826327,0.0257245963135969,0.000266726495296218,0.024056778764651
"STAI","anxiety.13",0.134719635893631,-0.2721669572941,TRUE,-0.223774126908555,-0.445092738613867,-0.00221068262388801,0.0420296286383406,-0.008311531306134,0.00285402818849002
